"縣市名稱","鄉鎮名稱","段號名稱","小段名稱","母號","子號","分號","面積(㎡)","使用單位名稱","使用部門名稱","使用分部名稱","使用分區名稱","使用地類名稱"
"臺中市","南屯區","保安",,"0918","0000","000","43","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0919","0000","001","1219","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0920","0000","000","996","中彰區處","月眉資產課","月眉資產課","商業區       ","無"
"臺中市","南屯區","保安",,"0956","0000","000","841","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","保安",,"0957","0000","000","571","中彰區處","月眉資產課","月眉資產課","機關        ","無"
"臺中市","南屯區","保安",,"0957","0000","002","31","中彰區處","月眉資產課","月眉資產課","機關        ","無"
"臺中市","南屯區","保安",,"0958","0000","000","273.3","中彰區處","月眉資產課","月眉資產課","機關        ","無"
"臺中市","南屯區","保安",,"0958","0000","001","97.5","中彰區處","月眉資產課","月眉資產課","機關        ","無"
"臺中市","南屯區","保安",,"1009","0001","000","339.52","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1010","0000","000","260.96","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1010","0002","000","353.48","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1013","0001","000","1428.44","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1019","0000","000","1886.92","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1019","0001","000","9102.36","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1021","0000","000","1040.39","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1021","0000","001","368.74","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1021","0000","002","107.54","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1022","0000","000","284.4","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1023","0001","000","3964","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1024","0000","000","43","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1027","0000","000","4","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1030","0001","000","135","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","保安",,"1031","0001","000","145","中彰區處","月眉資產課","月眉資產課","學校        ","無"
"臺中市","南屯區","春社",,"0421","0000","000","1442","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","南屯區","春社",,"0492","0000","000","7","中彰區處","農場課","山仔腳農場","住宅區       ","無"
